"Rank","Root Domain","Linking Root Domains","Domain Authority"
"308","4shared.com","506,458","93"
"309","skype.com","366,478","93"
"310","welt.de","158,547","93"
"311","disney.com","211,514","93"
"312","eventbrite.com","539,494","93"
"313","wikihow.com","348,627","93"
"314","abc.es","156,703","93"
"315","ytimg.com","251,747","93"
"316","stanford.edu","508,284","93"
"317","twitch.tv","302,876","93"
"318","rt.com","230,527","93"
"319","blackberry.com","134,410","93"
"320","nature.com","443,014","93"
"321","academia.edu","284,650","93"
"322","tripadvisor.com","449,148","93"
"323","oracle.com","525,390","93"
"324","cnbc.com","398,033","93"
"325","google.pl","188,970","93"
"326","godaddy.com","2,358,948","93"
"327","gofundme.com","273,624","93"
"328","unesco.org","255,522","93"
"329","surveymonkey.com","384,318","93"
"330","soundcloud.com","1,566,441","93"
"331","cornell.edu","369,468","93"
"332","sciencemag.org","266,164","93"
"333","shopify.com","1,291,565","93"
"334","standard.co.uk","144,861","93"
"335","pbs.org","422,583","93"
"336","bitly.com","337,335","93"
"337","sendspace.com","149,326","93"
"338","newyorker.com","319,030","93"
"339","wiley.com","439,672","93"
"340","wa.me","463,207","93"
"341","indiatimes.com","335,554","93"
"342","nginx.com","473,552","93"
"343","cbc.ca","348,298","93"
"344","metro.co.uk","175,743","93"
"345","spotify.com","1,123,838","93"
"346","box.com","232,028","93"
"347","huffpost.com","415,521","93"
"348","fifa.com","141,884","93"
"349","xbox.com","145,336","93"
"350","dell.com","207,421","93"
"351","icann.org","437,262","93"
"352","ziddu.com","166,676","93"
"353","nikkei.com","192,029","93"
"354","yale.edu","277,250","93"
"355","sciencedaily.com","289,151","93"
"356","ja.wikipedia.org","327,389","93"
"357","sputniknews.com","136,465","93"
"358","cambridge.org","222,822","93"
"359","zendesk.com","446,942","93"
"360","ea.com","157,828","93"
"361","theverge.com","303,547","93"
"362","utexas.edu","231,976","93"
"363","ikea.com","263,139","93"
"364","about.com","668,123","93"
"365","theatlantic.com","425,192","93"
"366","digg.com","820,986","93"
"367","worldbank.org","203,856","93"
"368","variety.com","199,248","93"
"369","goodreads.com","672,498","93"
"370","express.co.uk","203,866","93"
"371","googleblog.com","214,791","93"
"372","bt.com","171,325","93"
"373","photobucket.com","1,571,518","93"
"374","oreilly.com","220,239","92"
"375","mhlw.go.jp","138,994","92"
"376","geocities.com","540,243","92"
"377","ameblo.jp","737,922","92"
"378","m.me","166,676","92"
"379","calameo.com","150,756","92"
"380","rediff.com","266,926","92"
"381","lifehacker.com","203,388","92"
"382","megaupload.com","242,546","92"
"383","consumerreports.org","148,468","92"
"384","www.canalblog.com","391,970","92"
"385","statista.com","185,350","92"
"386","digitaltrends.com","160,256","92"
"387","marriott.com","328,175","92"
"388","indiegogo.com","216,728","92"
"389","xinhuanet.com","619,005","92"
"390","politico.com","207,273","92"
"391","corriere.it","142,599","92"
"392","20minutos.es","121,065","92"
"393","axs.com","223,135","92"
"394","lycos.com","681,966","92"
"395","airbnb.com","166,555","92"
"396","irs.gov","249,986","92"
"397","liveinternet.ru","269,413","92"
"398","techradar.com","128,124","92"
"399","merriam-webster.com","234,306","92"
"400","fortune.com","214,372","92"
"401","dreniq.com","333,222","92"
"402","vchecks.me","218,301","92"
"403","pcmag.com","188,333","92"
"404","sina.com.cn","1,100,949","92"
"405","elsevier.com","224,672","92"
"406","epa.gov","282,675","92"
"407","cmu.edu","202,583","92"
"408","bp1.blogger.com","521,268","92"
"409","so-net.ne.jp","173,219","92"
"410","state.gov","263,000","92"
"411","pinterest.co.uk","158,400","92"
"412","avast.com","120,627","92"
"413","debian.org","331,886","92"
"414","teamviewer.com","148,507","92"
"415","ebay.co.uk","202,346","92"
"416","e-monsite.com","140,954","92"
"417","disney.go.com","165,379","92"
"418","zeit.de","127,573","92"
"419","archives.gov","213,002","92"
"420","mail.yahoo.com","171,415","92"
"421","qq.com","4,183,316","92"
"422","public-api.wordpress.com","171,347","92"
"423","kinja.com","193,454","92"
"424","slate.com","307,046","92"
"425","discovery.com","220,474","92"
"426","thestar.com","183,700","92"
"427","example.com","252,971","92"
"428","cbslocal.com","268,520","92"
"429","allaboutcookies.org","343,220","92"
"430","intel.com","222,954","92"
"431","oecd.org","161,645","92"
"432","marketwatch.com","282,606","92"
"433","illinois.edu","187,066","92"
"434","google.com.au","183,881","92"
"435","doi.org","321,057","92"
"436","thehill.com","171,433","92"
"437","amazon.it","125,794","92"
"438","amzn.to","716,751","92"
"439","a8.net","422,332","92"
"440","thefreedictionary.com","191,901","92"
"441","springer.com","346,774","92"
"442","newscientist.com","191,629","92"
"443","sports.yahoo.com","177,092","92"
"444","usgs.gov","195,164","92"
"445","si.edu","230,757","92"
"446","stuff.co.nz","136,945","92"
"447","reverbnation.com","186,502","92"
"448","amazon.ca","177,413","92"
"449","weforum.org","149,836","92"
"450","amazon.in","135,665","92"
"451","prezi.com","217,191","92"
"452","house.gov","230,237","92"
"453","giphy.com","320,888","92"
"454","rottentomatoes.com","195,049","92"
"455","fda.gov","279,580","92"
"456","gutenberg.org","158,665","92"
"457","prnewswire.com","305,143","92"
"458","outlook.com","197,918","92"
"459","ehow.com","227,759","92"
"460","offset.com","811,047","92"
"461","snapchat.com","157,965","92"
"462","behance.net","671,404","92"
"463","narod.ru","268,058","92"
"464","daum.net","156,008","92"
"465","adweek.com","163,713","92"
"466","feedproxy.google.com","754,051","92"
"467","steamcommunity.com","180,202","92"
"468","ndtv.com","152,126","92"
"469","about.me","278,266","92"
"470","khanacademy.org","148,268","92"
"471","espn.go.com","224,928","92"
